SOAP,Local
Packet size (B),Time (ms),Time average (ms)
1,504
1,53
1,39
1,44
1,39
1,49
1,46
1,36
1,45
1,35
1,63
1,48
1,44
1,49
1,31
1,53
1,27
1,26
1,46
1,40
1,,65.85
10,38
10,31
10,18
10,33
10,28
10,40
10,27
10,28
10,37
10,24
10,33
10,41
10,35
10,36
10,40
10,32
10,34
10,24
10,32
10,26
10,,31.85
100,20
100,26
100,36
100,21
100,21
100,23
100,24
100,31
100,19
100,31
100,34
100,34
100,29
100,21
100,25
100,23
100,27
100,29
100,30
100,20
100,,26.2
1000,20
1000,20
1000,22
1000,39
1000,22
1000,20
1000,25
1000,18
1000,21
1000,16
1000,17
1000,18
1000,20
1000,21
1000,20
1000,18
1000,34
1000,33
1000,25
1000,28
1000,,22.85
10000,18
10000,33
10000,30
10000,31
10000,31
10000,28
10000,18
10000,19
10000,18
10000,21
10000,24
10000,13
10000,15
10000,33
10000,29
10000,35
10000,16
10000,20
10000,20
10000,15
10000,,23.35
100000,24
100000,21
100000,26
100000,22
100000,17
100000,20
100000,43
100000,23
100000,19
100000,19
100000,20
100000,19
100000,27
100000,15
100000,24
100000,20
100000,25
100000,19
100000,20
100000,22
100000,,22.25
1000000,42
1000000,39
1000000,34
1000000,27
1000000,28
1000000,34
1000000,54
1000000,60
1000000,41
1000000,36
1000000,44
1000000,39
1000000,37
1000000,36
1000000,36
1000000,48
1000000,33
1000000,35
1000000,346
1000000,27
1000000,,53.8
10000000,110
10000000,229
10000000,134
10000000,339
10000000,99
10000000,153
10000000,118
10000000,114
10000000,109
10000000,122
10000000,188
10000000,135
10000000,207
10000000,205
10000000,116
10000000,131
10000000,133
10000000,136
10000000,115
10000000,131
10000000,,151.2
100000000,1345
100000000,1287
100000000,1101
100000000,2361
100000000,1176
100000000,1174
100000000,1346
100000000,1272
100000000,1119
100000000,1129
100000000,1266
100000000,1388
100000000,1127
100000000,1581
100000000,1109
100000000,1141
100000000,1294
100000000,1147
100000000,1104
100000000,1243
100000000,,1285.5
