SOAP,WANem 1Gbps
Packet size (B),Time (ms),Time average (ms)
1,464
1,50
1,39
1,40
1,44
1,46
1,38
1,27
1,42
1,36
1,30
1,41
1,40
1,33
1,19
1,38
1,28
1,27
1,33
1,25
1,,57.0
10,25
10,23
10,26
10,24
10,21
10,29
10,31
10,27
10,32
10,29
10,19
10,36
10,20
10,34
10,35
10,28
10,24
10,27
10,25
10,18
10,,26.65
100,25
100,22
100,38
100,16
100,17
100,15
100,20
100,32
100,28
100,17
100,33
100,33
100,24
100,19
100,22
100,14
100,22
100,17
100,22
100,20
100,,22.8
1000,21
1000,18
1000,23
1000,28
1000,18
1000,20
1000,14
1000,18
1000,14
1000,16
1000,19
1000,17
1000,18
1000,25
1000,15
1000,20
1000,27
1000,15
1000,16
1000,25
1000,,19.35
10000,19
10000,19
10000,18
10000,22
10000,27
10000,30
10000,21
10000,15
10000,19
10000,12
10000,20
10000,17
10000,18
10000,22
10000,17
10000,23
10000,10
10000,19
10000,21
10000,14
10000,,19.15
100000,31
100000,32
100000,38
100000,23
100000,22
100000,22
100000,32
100000,22
100000,23
100000,20
100000,26
100000,31
100000,19
100000,26
100000,23
100000,17
100000,22
100000,24
100000,22
100000,20
100000,,24.75
1000000,62
1000000,59
1000000,50
1000000,53
1000000,69
1000000,51
1000000,60
1000000,75
1000000,51
1000000,58
1000000,53
1000000,61
1000000,51
1000000,39
1000000,56
1000000,49
1000000,35
1000000,40
1000000,45
1000000,80
1000000,,54.85
10000000,335
10000000,326
10000000,371
10000000,282
10000000,271
10000000,258
10000000,429
10000000,260
10000000,287
10000000,293
10000000,294
10000000,292
10000000,352
10000000,250
10000000,404
10000000,304
10000000,261
10000000,259
10000000,293
10000000,241
10000000,,303.1
100000000,2974
100000000,2785
100000000,2574
100000000,2914
100000000,2563
100000000,2529
100000000,2588
100000000,2536
100000000,2659
100000000,2593
100000000,2816
100000000,2864
100000000,2601
100000000,2794
100000000,2742
100000000,2629
100000000,2731
100000000,2580
100000000,2631
100000000,2440
100000000,,2677.15
