Java RMI,WANem 1024kbps
Packet size (B),Time (ms),Time average (ms)
1,1
1,1
1,0
1,1
1,1
1,1
1,1
1,1
1,0
1,0
1,1
1,1
1,0
1,2
1,2
1,2
1,1
1,2
1,2
1,2
1,,1.1
10,1
10,3
10,1
10,2
10,2
10,2
10,2
10,0
10,2
10,0
10,1
10,3
10,1
10,0
10,2
10,2
10,2
10,2
10,2
10,2
10,,1.6
100,1
100,3
100,2
100,3
100,2
100,3
100,2
100,1
100,1
100,2
100,2
100,2
100,2
100,2
100,3
100,2
100,2
100,1
100,1
100,2
100,,1.95
1000,9
1000,10
1000,9
1000,9
1000,11
1000,7
1000,9
1000,8
1000,26
1000,2
1000,5
1000,9
1000,9
1000,9
1000,10
1000,9
1000,9
1000,8
1000,10
1000,10
1000,,9.4
10000,96
10000,88
10000,81
10000,83
10000,84
10000,85
10000,84
10000,85
10000,85
10000,85
10000,85
10000,85
10000,84
10000,84
10000,84
10000,86
10000,84
10000,84
10000,86
10000,85
10000,,85.15
100000,840
100000,841
100000,840
100000,842
100000,841
100000,840
100000,842
100000,840
100000,843
100000,841
100000,843
100000,841
100000,840
100000,842
100000,840
100000,845
100000,840
100000,845
100000,837
100000,841
100000,,841.2
1000000,8429
