Java RMI,WANem 1Gbps
Packet size (B),Time (ms),Time average (ms)
1,1
1,0
1,1
1,1
1,0
1,1
1,1
1,0
1,1
1,1
1,0
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
1,1
1,,0.65
10,1
10,1
10,1
10,0
10,0
10,1
10,0
10,1
10,0
10,1
10,1
10,1
10,0
10,0
10,1
10,1
10,0
10,2
10,0
10,0
10,,0.6
100,0
100,1
100,1
100,0
100,1
100,1
100,1
100,1
100,1
100,1
100,0
100,0
100,1
100,1
100,1
100,1
100,1
100,1
100,0
100,0
100,,0.7
1000,1
1000,0
1000,0
1000,1
1000,1
1000,0
1000,1
1000,1
1000,1
1000,1
1000,1
1000,0
1000,0
1000,0
1000,2
1000,0
1000,0
1000,1
1000,0
1000,1
1000,,0.6
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,1
10000,0
10000,0
10000,1
10000,0
10000,0
10000,2
10000,1
10000,1
10000,1
10000,2
10000,,0.9
100000,3
100000,3
100000,3
100000,2
100000,2
100000,2
100000,2
100000,2
100000,2
100000,2
100000,2
100000,2
100000,2
100000,3
100000,3
100000,2
100000,2
100000,2
100000,3
100000,3
100000,,2.35
1000000,20
1000000,22
1000000,17
1000000,16
1000000,15
1000000,15
1000000,14
1000000,14
1000000,14
1000000,16
1000000,17
1000000,14
1000000,14
1000000,16
1000000,13
1000000,13
1000000,14
1000000,14
1000000,14
1000000,14
1000000,,15.3
10000000,163
10000000,163
10000000,141
10000000,172
10000000,161
10000000,144
10000000,144
10000000,136
10000000,138
10000000,169
10000000,170
10000000,140
10000000,147
10000000,147
10000000,164
10000000,141
10000000,142
10000000,167
10000000,141
10000000,164
10000000,,152.7
100000000,1510
100000000,1524
100000000,1490
100000000,1591
100000000,1526
100000000,1522
100000000,1547
100000000,1556
100000000,1547
100000000,1551
100000000,1554
100000000,1492
100000000,1561
100000000,1531
100000000,1496
100000000,1489
100000000,1545
100000000,1541
100000000,1544
100000000,1598
100000000,,1535.75
